"Código de barras",Código,Variantes,expected,counted
1000180R,1000180R,"1.3 8v (Endura)",-4.0000,
1007,1007,,9.0000,
1019,1019,,10.0000,
1026,1026,"1.6 8v (Gol/Senda)",-1.0000,
1027,1027,"1.6 8v (Gol/Senda)",-1.0000,
18543R,18543R,,4.0000,
18605,18605,"1.7 8v D",-2.0000,
19113R,19113R,"2.1 D (J8S)",-1.0000,
236,236,,0.0000,
4000100,4000100,,2.0000,
4000101,4000101,,8.0000,
4000126,4000126,"3.1 8v TD (4JG2)",-3.0000,
4000138,4000138,,2.0000,
4000139,4000139,"2.7 8v TD (TD27)",-1.0000,
4000152,4000152,,1.0000,
4000153,4000153,,3.0000,
4000181,4000181,,5.0000,
8012,8012,"1.7 8v TD",-3.0000,
8218,8218,,0.0000,
8455,8455,,0.0000,
8533R,8533R,,0.0000,
908010,908010,,14.0000,
908048,908048,"1.9 D (F8Q)",-3.0000,
908055,908055,"1.9 8v D",-2.0000,
908058,908058,,10.0000,
908098,908098,"1.9 D (F8Q)",-2.0000,
908521,908521,,5.0000,
908545,908545,"2.3 16v JTD Multijet (F1AE)",-2.0000,
908725,908725,,1.0000,
908726,908726,,5.0000,
908746,"YHI37 / 908746",,1.0000,
908761,908761,,1.0000,
908765,908765,,8.0000,
908767,908767,,1.0000,
909023,909023,,0.0000,
909025,909025,,7.0000,
910512,910512,"2.3 8v (4ZD1)",-2.0000,
CODIGO201,CODIGO201,"488 (INDENOR)",-1.0000,
CODIGO203,CODIGO203,"XD2 (INDENOR)",1.0000,
CODIGO207,CODIGO207,,2.0000,
CODIGO301,CODIGO301,"1.6 8v (404)",-1.0000,
CODIGO302,CODIGO302,,0.0000,
CODIGO303,CODIGO303,"2.0 8v (504/505)",-1.0000,
CODIGO304,CODIGO304,,10.0000,
CODIGO501,CODIGO501,,0.0000,
CODIGO502,CODIGO502,,5.0000,
CODIGO641,641,,0.0000,
CODIGO642,642,,0.0000,
FCRT1027,FCRT1027,"1.6 8v (C1L/C2L)",3.0000,
TAP0059,TAP0059,,1.0000,
TAP0202,TAP0202,,7.0000,
tap0268,TAP0268,,0.0000,
TAP0300,TAP0300,,0.0000,
TAP0354AR,TAP0354AR,,8.0000,
TAP0400,TAP0400,,1.0000,
TAP601,TAP601,,0.0000,
TAP908032,908032,,2.0000,
tap908051,908051,,3.0000,
tap908068,908068,"1.9 8v D (XUD9)",-1.0000,
tap908512,908512,,5.0000,
TAP908513,908513,,2.0000,
TAP908514,908514,,0.0000,
tap908537,908537,"1.9 8v D (DW8)",-1.0000,
tap908592,908592,,4.0000,
tap908740,"YHI31 / 908740",,11.0000,
TAP908741,"YHI35 / 908741",,1.0000,
tap908780,908780,,0.0000,
tap908782,908782,,0.0000,
tap909021,TAP0049B,,4.0000,
tap909027,TAP0258,,1.0000,
tap909053,"909053 / YHI158",,-1.0000,
TAPYHI157,YHI157,"3.0 8v TD (5L)",0.0000,
TAPYHI82,YHI82,,1.0000,
TAPYHI93,4410,,6.0000,
TAPYHI94,YHI94,,8.0000,
YHI100,YHI100,,1.0000,
YHI223,YHI223,,0.0000,
YHI320,YHI320,,1.0000,
YHI412,YHI412,,7.0000,
YHI415,YHI415,"1.6 16v (K4M)",-3.0000,
YHI416,YHI416,,17.0000,
YHI99,YHI99,,2.0000,
